pokemon_id,pokemon_name,form_name,is_legal,hp,attack,defense,sp_attack,sp_defense,speed,stat_total,regulation_code,source_name,source_url,source_record_id,extracted_at_utc,dataset_version
3,Venusaur,Venusaur,True,80,82,83,100,100,80,525,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/venusaur,venusaur,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Venusaur,Mega Venusaur,True,80,100,123,122,120,80,625,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-venusaur,mega-venusaur,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
6,Charizard,Charizard,True,78,84,78,109,85,100,534,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/charizard,charizard,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Charizard,Mega Charizard X,True,78,130,111,130,85,100,634,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-charizard-x,mega-charizard-x,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Charizard,Mega Charizard Y,True,78,104,78,159,115,100,634,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-charizard-y,mega-charizard-y,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
9,Blastoise,Blastoise,True,79,83,100,85,105,78,530,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/blastoise,blastoise,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Blastoise,Mega Blastoise,True,79,103,120,135,115,78,630,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-blastoise,mega-blastoise,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
15,Beedrill,Beedrill,True,65,90,40,45,80,75,395,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/beedrill,beedrill,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Beedrill,Mega Beedrill,True,65,150,40,15,80,145,495,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-beedrill,mega-beedrill,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
18,Pidgeot,Pidgeot,True,83,80,75,70,70,101,479,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/pidgeot,pidgeot,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
,Pidgeot,Mega Pidgeot,True,83,80,80,135,80,121,579,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mega-pidgeot,mega-pidgeot,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
24,Arbok,Arbok,True,60,95,69,65,79,80,448,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/arbok,arbok,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
25,Pikachu,Pikachu,True,35,55,40,50,50,90,320,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/pikachu,pikachu,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
26,Raichu,Raichu,True,60,90,55,90,80,110,485,,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/raichu,raichu,2026-07-18T17:06:37.536825+00:00,0.0.0-dev
