archetype_key,archetype_name,pokemon_key
rain,Rain,pelipper
rain,Rain,politoed
rain,Rain,barraskewda
rain,Rain,ludicolo
rain,Rain,poliwrath
rain,Rain,kingdra
trick-room,Trick Room,hatterene
trick-room,Trick Room,bronzong
trick-room,Trick Room,iron-hands
trick-room,Trick Room,ursaluna
trick-room,Trick Room,amoonguss
trick-room,Trick Room,indeedee-female
sun,Sun,torkoal
sun,Sun,ninetales
sun,Sun,venusaur-mega
sun,Sun,charizard-mega-y
sun,Sun,cherrim
sand,Sand,tyranitar-mega
sand,Sand,hippowdon
sand,Sand,excadrill
sand,Sand,garchomp
sand,Sand,landorus-therian
tailwind-hyper-offense,Tailwind Hyper Offense,whimsicott
tailwind-hyper-offense,Tailwind Hyper Offense,grimmsnarl
tailwind-hyper-offense,Tailwind Hyper Offense,flutter-mane
tailwind-hyper-offense,Tailwind Hyper Offense,chien-pao
tailwind-hyper-offense,Tailwind Hyper Offense,urshifu-single-strike
tailwind-hyper-offense,Tailwind Hyper Offense,iron-bundle
bulky-balance,Bulky Balance,incineroar
bulky-balance,Bulky Balance,rillaboom
bulky-balance,Bulky Balance,amoonguss
bulky-balance,Bulky Balance,landorus-therian
bulky-balance,Bulky Balance,ferrothorn
