bulbagarden_title,pokeapi_form_name
File:Menu CP 0003-Mega.png,venusaur-mega
File:Menu CP 0003.png,venusaur
File:Menu CP 0006-Mega X.png,charizard-mega-x
File:Menu CP 0006-Mega Y.png,charizard-mega-y
File:Menu CP 0006.png,charizard
File:Menu CP 0009-Mega.png,blastoise-mega
File:Menu CP 0009.png,blastoise
File:Menu CP 0015-Mega.png,beedrill-mega
File:Menu CP 0015.png,beedrill
File:Menu CP 0018-Mega.png,pidgeot-mega
File:Menu CP 0018.png,pidgeot
File:Menu CP 0024.png,arbok
File:Menu CP 0025.png,pikachu
File:Menu CP 0026-Alola.png,raichu-alola
File:Menu CP 0026-Mega X.png,raichu-mega-x
File:Menu CP 0026-Mega Y.png,raichu-mega-y
File:Menu CP 0026.png,raichu
File:Menu CP 0036-Mega.png,clefable-mega
File:Menu CP 0036.png,clefable
File:Menu CP 0038-Alola.png,ninetales-alola
File:Menu CP 0038.png,ninetales
File:Menu CP 0045.png,vileplume
File:Menu CP 0059-Hisui.png,arcanine-hisui
File:Menu CP 0059.png,arcanine
File:Menu CP 0065-Mega.png,alakazam-mega
File:Menu CP 0065.png,alakazam
File:Menu CP 0068.png,machamp
File:Menu CP 0071-Mega.png,victreebel-mega
File:Menu CP 0071.png,victreebel
File:Menu CP 0080-Galar.png,slowbro-galar
File:Menu CP 0080-Mega.png,slowbro-mega
File:Menu CP 0080.png,slowbro
File:Menu CP 0094-Mega.png,gengar-mega
File:Menu CP 0094.png,gengar
File:Menu CP 0115-Mega.png,kangaskhan-mega
File:Menu CP 0115.png,kangaskhan
File:Menu CP 0121-Mega.png,starmie-mega
File:Menu CP 0121.png,starmie
File:Menu CP 0127-Mega.png,pinsir-mega
File:Menu CP 0127.png,pinsir
File:Menu CP 0128-Paldea Aqua.png,tauros-paldea-aqua-breed
File:Menu CP 0128-Paldea Blaze.png,tauros-paldea-blaze-breed
File:Menu CP 0128-Paldea Combat.png,tauros-paldea-combat-breed
File:Menu CP 0128.png,tauros
File:Menu CP 0130-Mega.png,gyarados-mega
File:Menu CP 0130.png,gyarados
File:Menu CP 0132.png,ditto
File:Menu CP 0134.png,vaporeon
File:Menu CP 0135.png,jolteon
File:Menu CP 0136.png,flareon
File:Menu CP 0142-Mega.png,aerodactyl-mega
File:Menu CP 0142.png,aerodactyl
File:Menu CP 0143.png,snorlax
File:Menu CP 0149-Mega.png,dragonite-mega
File:Menu CP 0149.png,dragonite
File:Menu CP 0154-Mega.png,meganium-mega
File:Menu CP 0154.png,meganium
File:Menu CP 0157-Hisui.png,typhlosion-hisui
File:Menu CP 0157.png,typhlosion
File:Menu CP 0160-Mega.png,feraligatr-mega
File:Menu CP 0160.png,feraligatr
File:Menu CP 0168.png,ariados
File:Menu CP 0181-Mega.png,ampharos-mega
File:Menu CP 0181.png,ampharos
File:Menu CP 0184.png,azumarill
File:Menu CP 0186.png,politoed
File:Menu CP 0196.png,espeon
File:Menu CP 0197.png,umbreon
File:Menu CP 0199-Galar.png,slowking-galar
File:Menu CP 0199.png,slowking
File:Menu CP 0205.png,forretress
File:Menu CP 0208-Mega.png,steelix-mega
File:Menu CP 0208.png,steelix
File:Menu CP 0211.png,qwilfish
File:Menu CP 0212-Mega.png,scizor-mega
File:Menu CP 0212.png,scizor
File:Menu CP 0214-Mega.png,heracross-mega
File:Menu CP 0214.png,heracross
File:Menu CP 0227-Mega.png,skarmory-mega
File:Menu CP 0227.png,skarmory
File:Menu CP 0229-Mega.png,houndoom-mega
File:Menu CP 0229.png,houndoom
File:Menu CP 0248-Mega.png,tyranitar-mega
File:Menu CP 0248.png,tyranitar
File:Menu CP 0254-Mega.png,sceptile-mega
File:Menu CP 0254.png,sceptile
File:Menu CP 0257-Mega.png,blaziken-mega
File:Menu CP 0257.png,blaziken
File:Menu CP 0260-Mega.png,swampert-mega
File:Menu CP 0260.png,swampert
File:Menu CP 0279.png,pelipper
File:Menu CP 0282-Mega.png,gardevoir-mega
File:Menu CP 0282.png,gardevoir
File:Menu CP 0302-Mega.png,sableye-mega
File:Menu CP 0302.png,sableye
File:Menu CP 0303-Mega.png,mawile-mega
File:Menu CP 0303.png,mawile
File:Menu CP 0306-Mega.png,aggron-mega
File:Menu CP 0306.png,aggron
File:Menu CP 0308-Mega.png,medicham-mega
File:Menu CP 0308.png,medicham
File:Menu CP 0310-Mega.png,manectric-mega
File:Menu CP 0310.png,manectric
File:Menu CP 0319-Mega.png,sharpedo-mega
File:Menu CP 0319.png,sharpedo
File:Menu CP 0323-Mega.png,camerupt-mega
