limitless_pokemon_slug,item_name,pokeapi_form_name
abomasnow,Abomasite,abomasnow-mega
aerodactyl,Aerodactylite,aerodactyl-mega
blastoise,Blastoisinite,blastoise-mega
camerupt,Cameruptite,camerupt-mega
charizard,Charizardite X,charizard-mega-x
charizard,Charizardite Y,charizard-mega-y
clefable,Clefablite,clefable-mega
crabominable,Crabominite,crabominable-mega
delphox,Delphoxite,delphox-mega
dragonite,Dragoninite,dragonite-mega
floette-eternal,Floettite,floette-mega
froslass,Froslassite,froslass-mega
garchomp,Garchompite,garchomp-mega
gardevoir,Gardevoirite,gardevoir-mega
gengar,Gengarite,gengar-mega
glimmora,Glimmoranite,glimmora-mega
gyarados,Gyaradosite,gyarados-mega
heracross,Heracronite,heracross-mega
kangaskhan,Kangaskhanite,kangaskhan-mega
lopunny,Lopunnite,lopunny-mega
lucario,Lucarionite,lucario-mega
manectric,Manectite,manectric-mega
scizor,Scizorite,scizor-mega
scovillain,Scovillainite,scovillain-mega
skarmory,Skarmorite,skarmory-mega
starmie,Starminite,starmie-mega
steelix,Steelixite,steelix-mega
tyranitar,Tyranitarite,tyranitar-mega
venusaur,Venusaurite,venusaur-mega
