limitless_pokemon_slug,pokeapi_form_name
abomasnow,abomasnow
aegislash,aegislash-shield
aerodactyl,aerodactyl
araquanid,araquanid
arcanine,arcanine
arcanine-hisui,arcanine-hisui
archaludon,archaludon
armarouge,armarouge
azumarill,azumarill
basculegion,basculegion-male
blastoise,blastoise
camerupt,camerupt
ceruledge,ceruledge
chandelure,chandelure
charizard,charizard
clefable,clefable
corviknight,corviknight
crabominable,crabominable
delphox,delphox
dragapult,dragapult
dragonite,dragonite
empoleon,empoleon
espathra,espathra
excadrill,excadrill
farigiraf,farigiraf
floette-eternal,floette-eternal
froslass,froslass
gallade,gallade
garchomp,garchomp
gardevoir,gardevoir
gengar,gengar
glimmora,glimmora
gyarados,gyarados
heracross,heracross
hydreigon,hydreigon
incineroar,incineroar
kangaskhan,kangaskhan
kingambit,kingambit
kleavor,kleavor
kommo-o,kommo-o
lopunny,lopunny
lucario,lucario
lycanroc-dusk,lycanroc-dusk
mamoswine,mamoswine
manectric,manectric
maushold,maushold-family-of-four
milotic,milotic
mimikyu,mimikyu-disguised
ninetales-alola,ninetales-alola
oranguru,oranguru
orthworm,orthworm
palafin,palafin-zero
pelipper,pelipper
politoed,politoed
primarina,primarina
rotom-heat,rotom-heat
rotom-mow,rotom-mow
rotom-wash,rotom-wash
sableye,sableye
samurott-hisui,samurott-hisui
scizor,scizor
scovillain,scovillain
serperior,serperior
sinistcha,sinistcha
skarmory,skarmory
sneasler,sneasler
snorlax,snorlax
starmie,starmie
steelix,steelix
sylveon,sylveon
talonflame,talonflame
tinkaton,tinkaton
torkoal,torkoal
toxapex,toxapex
tsareena,tsareena
typhlosion-hisui,typhlosion-hisui
tyranitar,tyranitar
venusaur,venusaur
vivillon,vivillon
volcarona,volcarona
weavile,weavile
whimsicott,whimsicott
wyrdeer,wyrdeer
