munchstats_pokemon_name,pokeapi_form_name
Abomasnow,abomasnow
Abomasnow-Mega,abomasnow-mega
Absol,absol
Aegislash,aegislash-shield
Aerodactyl,aerodactyl
Aerodactyl-Mega,aerodactyl-mega
Aggron-Mega,aggron-mega
Alakazam,alakazam
Alakazam-Mega,alakazam-mega
Alcremie,alcremie
Altaria,altaria
Altaria-Mega,altaria-mega
Ambipom,ambipom
Amoonguss,amoonguss
Ampharos-Mega,ampharos-mega
Annihilape,annihilape
Appletun,appletun
Araquanid,araquanid
Arbok,arbok
Arboliva,arboliva
Arcanine,arcanine
Arcanine-Hisui,arcanine-hisui
Archaludon,archaludon
Ariados,ariados
Armarouge,armarouge
Articuno,articuno
Articuno-Galar,articuno-galar
Aurorus,aurorus
Avalugg,avalugg
Azelf,azelf
Azumarill,azumarill
Banette-Mega,banette-mega
Barraskewda,barraskewda
Basculegion,basculegion-male
Basculegion-F,basculegion-female
Basculin,basculin-red-striped
Bastiodon,bastiodon
Baxcalibur,baxcalibur
Beartic,beartic
Beedrill-Mega,beedrill-mega
Bellibolt,bellibolt
Bisharp,bisharp
Blastoise,blastoise
Blastoise-Mega,blastoise-mega
Blaziken,blaziken
Blissey,blissey
Brambleghast,brambleghast
Braviary,braviary
Braviary-Hisui,braviary-hisui
Breloom,breloom
Bronzong,bronzong
Brute Bonnet,brute-bonnet
Bruxish,bruxish
Buizel,buizel
Calyrex,calyrex
Calyrex-Ice,calyrex-ice
Calyrex-Shadow,calyrex-shadow
Camerupt,camerupt
Camerupt-Mega,camerupt-mega
Carbink,carbink
Ceruledge,ceruledge
Cetitan,cetitan
Chandelure,chandelure
Chandelure-Mega,chandelure-mega
Chansey,chansey
Charcadet,charcadet
Charizard,charizard
Charizard-Mega-X,charizard-mega-x
Charizard-Mega-Y,charizard-mega-y
Charjabug,charjabug
Chesnaught,chesnaught
Chesnaught-Mega,chesnaught-mega
Chi-Yu,chi-yu
Chien-Pao,chien-pao
Cinccino,cinccino
Cinderace,cinderace
Clawitzer,clawitzer
Clefable,clefable
Clefable-Mega,clefable-mega
Clefairy,clefairy
Clodsire,clodsire
Cloyster,cloyster
Coalossal,coalossal
Cobalion,cobalion
Cofagrigus,cofagrigus
Comfey,comfey
Conkeldurr,conkeldurr
Corviknight,corviknight
Corvisquire,corvisquire
Crabominable-Mega,crabominable-mega
Cramorant,cramorant
Crawdaunt,crawdaunt
Cresselia,cresselia
Crocalor,crocalor
Cryogonal,cryogonal
Cyclizar,cyclizar
Dachsbun,dachsbun
