opgg_key,pokeapi_form_name
abomasnow,abomasnow
absol,absol
aegislash,aegislash-shield
aegislash-blade,aegislash-blade
aerodactyl,aerodactyl
aggron,aggron
alakazam,alakazam
alcremie,alcremie
altaria,altaria
ampharos,ampharos
annihilape,annihilape
appletun,appletun
araquanid,araquanid
arbok,arbok
arcanine,arcanine
arcanine-hisui,arcanine-hisui
archaludon,archaludon
ariados,ariados
armarouge,armarouge
aromatisse,aromatisse
audino,audino
aurorus,aurorus
avalugg,avalugg
avalugg-hisui,avalugg-hisui
azumarill,azumarill
banette,banette
barbaracle,barbaracle
basculegion-female,basculegion-female
basculegion-male,basculegion-male
bastiodon,bastiodon
beartic,beartic
beedrill,beedrill
bellibolt,bellibolt
blastoise,blastoise
blaziken,blaziken
blaziken-female,blaziken
camerupt,camerupt
castform,castform
ceruledge,ceruledge
chandelure,chandelure
charizard,charizard
chesnaught,chesnaught
chimecho,chimecho
clawitzer,clawitzer
clefable,clefable
cofagrigus,cofagrigus
conkeldurr,conkeldurr
corviknight,corviknight
crabominable,crabominable
decidueye,decidueye
decidueye-hisui,decidueye-hisui
dedenne,dedenne
delphox,delphox
diggersby,diggersby
ditto,ditto
dragalge,dragalge
dragapult,dragapult
dragonite,dragonite
drampa,drampa
eelektross,eelektross
emboar,emboar
emolga,emolga
empoleon,empoleon
espathra,espathra
espeon,espeon
excadrill,excadrill
falinks,falinks
farigiraf,farigiraf
feraligatr,feraligatr
flapple,flapple
flareon,flareon
floette-eternal-flower,floette-eternal
florges,florges
forretress,forretress
froslass,froslass
furfrou,furfrou
gallade,gallade
garbodor,garbodor
garchomp,garchomp
gardevoir,gardevoir
garganacl,garganacl
gengar,gengar
gholdengo,gholdengo
glaceon,glaceon
glalie,glalie
glimmora,glimmora
gliscor,gliscor
golurk,golurk
goodra,goodra
goodra-hisui,goodra-hisui
gourgeist-average,gourgeist-average
gourgeist-large,gourgeist-large
gourgeist-small,gourgeist-small
gourgeist-super,gourgeist-super
greninja,greninja
grimmsnarl,grimmsnarl
gyarados,gyarados
hatterene,hatterene
hawlucha,hawlucha
heliolisk,heliolisk
heracross,heracross
hippowdon,hippowdon
houndoom,houndoom
houndstone,houndstone
hydrapple,hydrapple
hydreigon,hydreigon
incineroar,incineroar
infernape,infernape
jolteon,jolteon
kangaskhan,kangaskhan
kingambit,kingambit
kleavor,kleavor
klefki,klefki
kommo-o,kommo-o
krookodile,krookodile
leafeon,leafeon
liepard,liepard
lopunny,lopunny
lucario,lucario
luxray,luxray
lycanroc,lycanroc-midday
lycanroc-dusk,lycanroc-dusk
lycanroc-midnight,lycanroc-midnight
machamp,machamp
malamar,malamar
mamoswine,mamoswine
manectric,manectric
maushold-family-of-four,maushold-family-of-four
maushold-family-of-three,maushold-family-of-three
mawile,mawile
medicham,medicham
mega-abomasnow,abomasnow-mega
mega-absol,absol-mega
mega-aerodactyl,aerodactyl-mega
mega-aggron,aggron-mega
mega-alakazam,alakazam-mega
mega-altaria,altaria-mega
mega-ampharos,ampharos-mega
mega-audino,audino-mega
mega-banette,banette-mega
mega-barbaracle,barbaracle-mega
mega-beedrill,beedrill-mega
mega-blastoise,blastoise-mega
mega-blaziken,blaziken-mega
mega-camerupt,camerupt-mega
mega-chandelure,chandelure-mega
mega-charizard-x,charizard-mega-x
mega-charizard-y,charizard-mega-y
mega-chesnaught,chesnaught-mega
mega-chimecho,chimecho-mega
mega-clefable,clefable-mega
mega-crabominable,crabominable-mega
mega-delphox,delphox-mega
mega-dragalge,dragalge-mega
mega-dragonite,dragonite-mega
mega-drampa,drampa-mega
mega-eelektross,eelektross-mega
mega-emboar,emboar-mega
mega-excadrill,excadrill-mega
mega-falinks,falinks-mega
mega-feraligatr,feraligatr-mega
mega-floette,floette-mega
mega-froslass,froslass-mega
mega-gallade,gallade-mega
mega-garchomp,garchomp-mega
mega-gardevoir,gardevoir-mega
mega-gengar,gengar-mega
mega-glalie,glalie-mega
mega-glimmora,glimmora-mega
mega-golurk,golurk-mega
mega-greninja,greninja-mega
mega-gyarados,gyarados-mega
mega-hawlucha,hawlucha-mega
mega-heracross,heracross-mega
mega-houndoom,houndoom-mega
mega-kangaskhan,kangaskhan-mega
mega-lopunny,lopunny-mega
mega-lucario,lucario-mega
mega-malamar,malamar-mega
mega-manectric,manectric-mega
mega-mawile,mawile-mega
mega-medicham,medicham-mega
mega-meganium,meganium-mega
mega-metagross,metagross-mega
mega-pidgeot,pidgeot-mega
mega-pinsir,pinsir-mega
mega-pyroar,pyroar-mega
mega-raichu-x,raichu-mega-x
mega-raichu-y,raichu-mega-y
mega-sableye,sableye-mega
mega-sceptile,sceptile-mega
mega-scizor,scizor-mega
mega-scolipede,scolipede-mega
mega-scovillain,scovillain-mega
mega-scrafty,scrafty-mega
mega-sharpedo,sharpedo-mega
mega-skarmory,skarmory-mega
mega-slowbro,slowbro-mega
mega-staraptor,staraptor-mega
mega-starmie,starmie-mega
mega-steelix,steelix-mega
mega-swampert,swampert-mega
mega-tyranitar,tyranitar-mega
mega-venusaur,venusaur-mega
mega-victreebel,victreebel-mega
meganium,meganium
meowscarada,meowscarada
meowstic-female,meowstic-female
meowstic-male,meowstic-male
metagross,metagross
milotic,milotic
mimikyu,mimikyu-disguised
morpeko,morpeko-full-belly
mr.-rime,mr-rime
mudsdale,mudsdale
musharna,musharna
ninetales,ninetales
ninetales-alolan,ninetales-alola
noivern,noivern
oranguru,oranguru
orthworm,orthworm
overqwil,overqwil
palafin,palafin-zero
palafin-hero,palafin-hero
pangoro,pangoro
passimian,passimian
pelipper,pelipper
pidgeot,pidgeot
pikachu,pikachu
pinsir,pinsir
politoed,politoed
polteageist,polteageist
primarina,primarina
pyroar,pyroar-male
pyroar-female,pyroar-male
quaquaval,quaquaval
qwilfish,qwilfish
raichu,raichu
raichu-alolan,raichu-alola
rampardos,rampardos
reuniclus,reuniclus
rhyperior,rhyperior
roserade,roserade
rotom,rotom
rotom-fan,rotom-fan
rotom-frost,rotom-frost
rotom-heat,rotom-heat
rotom-mow,rotom-mow
rotom-wash,rotom-wash
runerigus,runerigus
sableye,sableye
salazzle,salazzle
samurott,samurott
samurott-hisui,samurott-hisui
sandaconda,sandaconda
sceptile,sceptile
scizor,scizor
scolipede,scolipede
scovillain,scovillain
scrafty,scrafty
serperior,serperior
sharpedo,sharpedo
simipour,simipour
simisage,simisage
simisear,simisear
sinistcha,sinistcha
skarmory,skarmory
skeledirge,skeledirge
slowbro,slowbro
slowbro-galarian,slowbro-galar
slowking,slowking
slowking-galarian,slowking-galar
slurpuff,slurpuff
sneasler,sneasler
snorlax,snorlax
spiritomb,spiritomb
staraptor,staraptor
staraptor-female,staraptor
starmie,starmie
steelix,steelix
stunfisk,stunfisk
stunfisk-galarian,stunfisk-galar
swampert,swampert
sylveon,sylveon
talonflame,talonflame
tauros,tauros
tauros-paldean-aqua,tauros-paldea-aqua-breed
tauros-paldean-blaze,tauros-paldea-blaze-breed
tauros-paldean-combat,tauros-paldea-combat-breed
tinkaton,tinkaton
torkoal,torkoal
torterra,torterra
toucannon,toucannon
toxapex,toxapex
toxicroak,toxicroak
trevenant,trevenant
tsareena,tsareena
typhlosion,typhlosion
typhlosion-hisui,typhlosion-hisui
tyranitar,tyranitar
tyrantrum,tyrantrum
umbreon,umbreon
vanilluxe,vanilluxe
vaporeon,vaporeon
venusaur,venusaur
victreebel,victreebel
vileplume,vileplume
vileplume-female,vileplume
vivillon,vivillon
volcarona,volcarona
watchog,watchog
weavile,weavile
whimsicott,whimsicott
wyrdeer,wyrdeer
zoroark,zoroark
zoroark-hisui,zoroark-hisui
