move_name,move_type
Pound,normal
Karate Chop,fighting
Double Slap,normal
Comet Punch,normal
Mega Punch,normal
Pay Day,normal
Fire Punch,fire
Ice Punch,ice
Thunder Punch,electric
Scratch,normal
Vice Grip,normal
Guillotine,normal
Razor Wind,normal
Swords Dance,normal
Cut,normal
Gust,flying
Wing Attack,flying
Whirlwind,normal
Fly,flying
Bind,normal
Slam,normal
Vine Whip,grass
Stomp,normal
Double Kick,fighting
Mega Kick,normal
Jump Kick,fighting
Rolling Kick,fighting
Sand Attack,ground
Headbutt,normal
Horn Attack,normal
Fury Attack,normal
Horn Drill,normal
Tackle,normal
Body Slam,normal
Wrap,normal
Take Down,normal
Thrash,normal
Double Edge,normal
Tail Whip,normal
Poison Sting,poison
Twineedle,bug
Pin Missile,bug
Leer,normal
Bite,dark
Growl,normal
Roar,normal
Sing,normal
Supersonic,normal
Sonic Boom,normal
Disable,normal
Acid,poison
Ember,fire
Flamethrower,fire
Mist,ice
Water Gun,water
Hydro Pump,water
Surf,water
Ice Beam,ice
Blizzard,ice
Psybeam,psychic
Bubble Beam,water
Aurora Beam,ice
Hyper Beam,normal
Peck,flying
Drill Peck,flying
Submission,fighting
Low Kick,fighting
Counter,fighting
Seismic Toss,fighting
Strength,normal
Absorb,grass
Mega Drain,grass
Leech Seed,grass
Growth,normal
Razor Leaf,grass
Solar Beam,grass
Poison Powder,poison
Stun Spore,grass
Sleep Powder,grass
Petal Dance,grass
String Shot,bug
Dragon Rage,dragon
Fire Spin,fire
Thunder Shock,electric
Thunderbolt,electric
Thunder Wave,electric
Thunder,electric
Rock Throw,rock
Earthquake,ground
Fissure,ground
Dig,ground
Toxic,poison
Confusion,psychic
Psychic,psychic
Hypnosis,psychic
Meditate,psychic
Agility,psychic
Quick Attack,normal
Rage,normal
Teleport,psychic
Night Shade,ghost
Mimic,normal
Screech,normal
Double Team,normal
Recover,normal
Harden,normal
Minimize,normal
Smokescreen,normal
Confuse Ray,ghost
Withdraw,water
Defense Curl,normal
Barrier,psychic
Light Screen,psychic
Haze,ice
Reflect,psychic
Focus Energy,normal
Bide,normal
Metronome,normal
Mirror Move,flying
Self Destruct,normal
Egg Bomb,normal
Lick,ghost
Smog,poison
Sludge,poison
Bone Club,ground
Fire Blast,fire
Waterfall,water
Clamp,water
Swift,normal
Skull Bash,normal
Spike Cannon,normal
Constrict,normal
Amnesia,psychic
Kinesis,psychic
Soft Boiled,normal
High Jump Kick,fighting
Glare,normal
Dream Eater,psychic
Poison Gas,poison
Barrage,normal
Leech Life,bug
Lovely Kiss,normal
Sky Attack,flying
Transform,normal
Bubble,water
Dizzy Punch,normal
Spore,grass
Flash,normal
Psywave,psychic
Splash,normal
Acid Armor,poison
Crabhammer,water
Explosion,normal
Fury Swipes,normal
Bonemerang,ground
Rest,psychic
Rock Slide,rock
Hyper Fang,normal
Sharpen,normal
Conversion,normal
Tri Attack,normal
Super Fang,normal
Slash,normal
Substitute,normal
Struggle,normal
Sketch,normal
Triple Kick,fighting
Thief,dark
Spider Web,bug
Mind Reader,normal
Nightmare,ghost
Flame Wheel,fire
Snore,normal
Curse,ghost
Flail,normal
Conversion 2,normal
Aeroblast,flying
Cotton Spore,grass
Reversal,fighting
Spite,ghost
Powder Snow,ice
Protect,normal
Mach Punch,fighting
Scary Face,normal
Feint Attack,dark
Sweet Kiss,fairy
Belly Drum,normal
Sludge Bomb,poison
Mud Slap,ground
Octazooka,water
Spikes,ground
Zap Cannon,electric
Foresight,normal
Destiny Bond,ghost
Perish Song,normal
Icy Wind,ice
Detect,fighting
Bone Rush,ground
Lock On,normal
Outrage,dragon
Sandstorm,rock
Giga Drain,grass
Endure,normal
Charm,fairy
Rollout,rock
False Swipe,normal
Swagger,normal
Milk Drink,normal
Spark,electric
Fury Cutter,bug
Steel Wing,steel
Mean Look,normal
Attract,normal
Sleep Talk,normal
Heal Bell,normal
Return,normal
Present,normal
Frustration,normal
Safeguard,normal
Pain Split,normal
Sacred Fire,fire
Magnitude,ground
Dynamic Punch,fighting
Megahorn,bug
Dragon Breath,dragon
Baton Pass,normal
Encore,normal
Pursuit,dark
Rapid Spin,normal
Sweet Scent,normal
Iron Tail,steel
Metal Claw,steel
Vital Throw,fighting
Morning Sun,normal
Synthesis,grass
Moonlight,fairy
Hidden Power,normal
Cross Chop,fighting
Twister,dragon
Rain Dance,water
Sunny Day,fire
Crunch,dark
Mirror Coat,psychic
Psych Up,normal
Extreme Speed,normal
Ancient Power,rock
Shadow Ball,ghost
Future Sight,psychic
Rock Smash,fighting
Whirlpool,water
Beat Up,dark
Fake Out,normal
Uproar,normal
Stockpile,normal
Spit Up,normal
Swallow,normal
Heat Wave,fire
Hail,ice
Torment,dark
Flatter,dark
Will O Wisp,fire
Memento,dark
Facade,normal
Focus Punch,fighting
Smelling Salts,normal
Follow Me,normal
Nature Power,normal
Charge,electric
Taunt,dark
Helping Hand,normal
Trick,psychic
Role Play,psychic
Wish,normal
Assist,normal
Ingrain,grass
Superpower,fighting
Magic Coat,psychic
Recycle,normal
Revenge,fighting
Brick Break,fighting
Yawn,normal
Knock Off,dark
Endeavor,normal
Eruption,fire
