pokebase_slug,pokeapi_form_name
abomasnow,abomasnow
abomasnow-mega,abomasnow-mega
absol,absol
absol-mega,absol-mega
aegislash-blade,aegislash-blade
aegislash-shield,aegislash-shield
aerodactyl,aerodactyl
aerodactyl-mega,aerodactyl-mega
aggron,aggron
aggron-mega,aggron-mega
alakazam,alakazam
alakazam-mega,alakazam-mega
alcremie,alcremie
altaria,altaria
altaria-mega,altaria-mega
ampharos,ampharos
ampharos-mega,ampharos-mega
annihilape,annihilape
appletun,appletun
araquanid,araquanid
arbok,arbok
arcanine,arcanine
arcanine-hisui,arcanine-hisui
archaludon,archaludon
ariados,ariados
armarouge,armarouge
aromatisse,aromatisse
audino,audino
audino-mega,audino-mega
aurorus,aurorus
avalugg,avalugg
avalugg-hisui,avalugg-hisui
azumarill,azumarill
banette,banette
banette-mega,banette-mega
barbaracle,barbaracle
barbaracle-mega,barbaracle-mega
basculegion,basculegion-male
basculegion-female,basculegion-female
bastiodon,bastiodon
beartic,beartic
beedrill,beedrill
beedrill-mega,beedrill-mega
bellibolt,bellibolt
blastoise,blastoise
blastoise-mega,blastoise-mega
blaziken,blaziken
blaziken-mega,blaziken-mega
camerupt,camerupt
camerupt-mega,camerupt-mega
castform,castform
ceruledge,ceruledge
chandelure,chandelure
chandelure-mega,chandelure-mega
charizard,charizard
charizard-mega-x,charizard-mega-x
charizard-mega-y,charizard-mega-y
chesnaught,chesnaught
chesnaught-mega,chesnaught-mega
chimecho,chimecho
chimecho-mega,chimecho-mega
clawitzer,clawitzer
clefable,clefable
clefable-mega,clefable-mega
cofagrigus,cofagrigus
conkeldurr,conkeldurr
corviknight,corviknight
crabominable,crabominable
crabominable-mega,crabominable-mega
decidueye,decidueye
decidueye-hisui,decidueye-hisui
dedenne,dedenne
delphox,delphox
delphox-mega,delphox-mega
diggersby,diggersby
ditto,ditto
dragalge,dragalge
dragalge-mega,dragalge-mega
dragapult,dragapult
dragonite,dragonite
dragonite-mega,dragonite-mega
drampa,drampa
drampa-mega,drampa-mega
eelektross,eelektross
eelektross-mega,eelektross-mega
emboar,emboar
emboar-mega,emboar-mega
emolga,emolga
empoleon,empoleon
espathra,espathra
espeon,espeon
excadrill,excadrill
excadrill-mega,excadrill-mega
falinks,falinks
falinks-mega,falinks-mega
farigiraf,farigiraf
feraligatr,feraligatr
feraligatr-mega,feraligatr-mega
flapple,flapple
flareon,flareon
floette,floette
floette-mega,floette-mega
florges,florges
forretress,forretress
froslass,froslass
froslass-mega,froslass-mega
furfrou,furfrou
gallade,gallade
