pokemon_stat_champions_key,pokemon_key,pokemon_id,hp,attack,defense,sp_attack,sp_defense,speed,stat_total,is_legal,source_name,source_url,source_record_id,extracted_at_utc,dataset_version
clefable-champions,clefable,36,95,70,73,95,90,60,483,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/clefable,clefable,2026-07-18 17:06:37.536825+00,0.0.0-dev
ninetales-champions,ninetales,38,73,76,75,81,100,100,505,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/ninetales,ninetales,2026-07-18 17:06:37.536825+00,0.0.0-dev
machamp-champions,machamp,68,90,130,80,65,85,55,505,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/machamp,machamp,2026-07-18 17:06:37.536825+00,0.0.0-dev
gengar-champions,gengar,94,60,65,60,130,75,110,500,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/gengar,gengar,2026-07-18 17:06:37.536825+00,0.0.0-dev
kangaskhan-champions,kangaskhan,115,105,95,80,40,80,90,490,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/kangaskhan,kangaskhan,2026-07-18 17:06:37.536825+00,0.0.0-dev
starmie-champions,starmie,121,60,75,85,100,85,115,520,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/starmie,starmie,2026-07-18 17:06:37.536825+00,0.0.0-dev
pinsir-champions,pinsir,127,65,125,100,55,70,85,500,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/pinsir,pinsir,2026-07-18 17:06:37.536825+00,0.0.0-dev
snorlax-champions,snorlax,143,160,110,65,65,110,30,540,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/snorlax,snorlax,2026-07-18 17:06:37.536825+00,0.0.0-dev
meganium-champions,meganium,154,80,82,100,83,100,80,525,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/meganium,meganium,2026-07-18 17:06:37.536825+00,0.0.0-dev
skarmory-champions,skarmory,227,65,80,140,40,70,70,465,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/skarmory,skarmory,2026-07-18 17:06:37.536825+00,0.0.0-dev
houndoom-champions,houndoom,229,75,90,50,110,80,95,500,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/houndoom,houndoom,2026-07-18 17:06:37.536825+00,0.0.0-dev
mawile-champions,mawile,303,50,85,85,55,55,50,380,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/mawile,mawile,2026-07-18 17:06:37.536825+00,0.0.0-dev
aggron-champions,aggron,306,70,110,180,60,60,50,530,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/aggron,aggron,2026-07-18 17:06:37.536825+00,0.0.0-dev
camerupt-champions,camerupt,323,70,100,70,105,75,40,460,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/camerupt,camerupt,2026-07-18 17:06:37.536825+00,0.0.0-dev
milotic-champions,milotic,350,95,60,79,100,125,81,540,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/milotic,milotic,2026-07-18 17:06:37.536825+00,0.0.0-dev
banette-champions,banette,354,64,115,65,83,63,65,455,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/banette,banette,2026-07-18 17:06:37.536825+00,0.0.0-dev
glalie-champions,glalie,362,80,80,80,80,80,80,480,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/glalie,glalie,2026-07-18 17:06:37.536825+00,0.0.0-dev
lopunny-champions,lopunny,428,65,76,84,54,96,105,480,true,OP.GG Pokémon Champions,https://op.gg/pokemon-champions/pokedex/lopunny,lopunny,2026-07-18 17:06:37.536825+00,0.0.0-dev
