event_id,event_name,event_date,source_name,source_url,source_record_id,extracted_at_utc,dataset_version
EU02mADIyxk2QHCU8dqx,2026 Europe Pokémon VGC International Championships,2026-02-13,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/EU02mADIyxk2QHCU8dqx/players.json,EU02mADIyxk2QHCU8dqx,2026-07-18 17:06:38.505628+00,0.0.0-dev
ME02w00ChbJUX07ROH4K,2026 Mérida Pokémon VGC Regional Championships,2026-01-24,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/ME02w00ChbJUX07ROH4K/players.json,ME02w00ChbJUX07ROH4K,2026-07-18 17:06:38.505628+00,0.0.0-dev
MB02w71HQZzTvTOYLtXb,2026 Melbourne Pokémon VGC Regional Championships,2026-05-23,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/MB02w71HQZzTvTOYLtXb/players.json,MB02w71HQZzTvTOYLtXb,2026-07-18 17:06:38.505628+00,0.0.0-dev
BR02nX95OUm3tbvzmSPv,2026 Brisbane Pokémon VGC Regional Championships,2025-11-01,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/BR02nX95OUm3tbvzmSPv/players.json,BR02nX95OUm3tbvzmSPv,2026-07-18 17:06:38.505628+00,0.0.0-dev
FR02mk9EZ28MWiUNIsTN,2026 Frankfurt Pokémon VGC Regional Championships,2025-09-13,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/FR02mk9EZ28MWiUNIsTN/players.json,FR02mk9EZ28MWiUNIsTN,2026-07-18 17:06:38.505628+00,0.0.0-dev
UT02wFHDCjnKgZ9Gscu7,2026 Utrecht Pokémon VGC Regional Championships,2026-05-16,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/UT02wFHDCjnKgZ9Gscu7/players.json,UT02wFHDCjnKgZ9Gscu7,2026-07-18 17:06:38.505628+00,0.0.0-dev
SE027LIri9yqbewCPonE,2026 Seattle Pokémon VGC Regional Championships,2026-02-27,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/SE027LIri9yqbewCPonE/players.json,SE027LIri9yqbewCPonE,2026-07-18 17:06:38.505628+00,0.0.0-dev
HO02w2PgpC7mWHP8zYRI,2026 Houston Pokémon VGC Regional Championships,2026-03-20,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/HO02w2PgpC7mWHP8zYRI/players.json,HO02w2PgpC7mWHP8zYRI,2026-07-18 17:06:38.505628+00,0.0.0-dev
TU02wKzv4cT2BBiI9dEg,2026 Turin Pokémon VGC Special Championships,2026-06-06,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/TU02wKzv4cT2BBiI9dEg/players.json,TU02wKzv4cT2BBiI9dEg,2026-07-18 17:06:38.505628+00,0.0.0-dev
LS02w5lpCOiMwPPo7QWD,2026 Los Angeles Pokémon VGC Regional Championships,2026-05-08,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/LS02w5lpCOiMwPPo7QWD/players.json,LS02w5lpCOiMwPPo7QWD,2026-07-18 17:06:38.505628+00,0.0.0-dev
