pokemon_key,pokemon_id,pokemon_name,form_name,source_name,source_url,source_record_id,extracted_at_utc,dataset_version
bulbasaur,1,bulbasaur,bulbasaur,PokéAPI,https://pokeapi.co/api/v2/pokemon/bulbasaur,1,2026-07-21 11:17:17.414942+00,0.0.0-dev
ivysaur,2,ivysaur,ivysaur,PokéAPI,https://pokeapi.co/api/v2/pokemon/ivysaur,2,2026-07-21 11:17:17.414942+00,0.0.0-dev
venusaur,3,venusaur,venusaur,PokéAPI,https://pokeapi.co/api/v2/pokemon/venusaur,3,2026-07-21 11:17:17.414942+00,0.0.0-dev
charmander,4,charmander,charmander,PokéAPI,https://pokeapi.co/api/v2/pokemon/charmander,4,2026-07-21 11:17:17.414942+00,0.0.0-dev
charmeleon,5,charmeleon,charmeleon,PokéAPI,https://pokeapi.co/api/v2/pokemon/charmeleon,5,2026-07-21 11:17:17.414942+00,0.0.0-dev
charizard,6,charizard,charizard,PokéAPI,https://pokeapi.co/api/v2/pokemon/charizard,6,2026-07-21 11:17:17.414942+00,0.0.0-dev
squirtle,7,squirtle,squirtle,PokéAPI,https://pokeapi.co/api/v2/pokemon/squirtle,7,2026-07-21 11:17:17.414942+00,0.0.0-dev
wartortle,8,wartortle,wartortle,PokéAPI,https://pokeapi.co/api/v2/pokemon/wartortle,8,2026-07-21 11:17:17.414942+00,0.0.0-dev
blastoise,9,blastoise,blastoise,PokéAPI,https://pokeapi.co/api/v2/pokemon/blastoise,9,2026-07-21 11:17:17.414942+00,0.0.0-dev
caterpie,10,caterpie,caterpie,PokéAPI,https://pokeapi.co/api/v2/pokemon/caterpie,10,2026-07-21 11:17:17.414942+00,0.0.0-dev
metapod,11,metapod,metapod,PokéAPI,https://pokeapi.co/api/v2/pokemon/metapod,11,2026-07-21 11:17:17.414942+00,0.0.0-dev
butterfree,12,butterfree,butterfree,PokéAPI,https://pokeapi.co/api/v2/pokemon/butterfree,12,2026-07-21 11:17:17.414942+00,0.0.0-dev
weedle,13,weedle,weedle,PokéAPI,https://pokeapi.co/api/v2/pokemon/weedle,13,2026-07-21 11:17:17.414942+00,0.0.0-dev
kakuna,14,kakuna,kakuna,PokéAPI,https://pokeapi.co/api/v2/pokemon/kakuna,14,2026-07-21 11:17:17.414942+00,0.0.0-dev
beedrill,15,beedrill,beedrill,PokéAPI,https://pokeapi.co/api/v2/pokemon/beedrill,15,2026-07-21 11:17:17.414942+00,0.0.0-dev
pidgey,16,pidgey,pidgey,PokéAPI,https://pokeapi.co/api/v2/pokemon/pidgey,16,2026-07-21 11:17:17.414942+00,0.0.0-dev
pidgeotto,17,pidgeotto,pidgeotto,PokéAPI,https://pokeapi.co/api/v2/pokemon/pidgeotto,17,2026-07-21 11:17:17.414942+00,0.0.0-dev
pidgeot,18,pidgeot,pidgeot,PokéAPI,https://pokeapi.co/api/v2/pokemon/pidgeot,18,2026-07-21 11:17:17.414942+00,0.0.0-dev
rattata,19,rattata,rattata,PokéAPI,https://pokeapi.co/api/v2/pokemon/rattata,19,2026-07-21 11:17:17.414942+00,0.0.0-dev
raticate,20,raticate,raticate,PokéAPI,https://pokeapi.co/api/v2/pokemon/raticate,20,2026-07-21 11:17:17.414942+00,0.0.0-dev
spearow,21,spearow,spearow,PokéAPI,https://pokeapi.co/api/v2/pokemon/spearow,21,2026-07-21 11:17:17.414942+00,0.0.0-dev
fearow,22,fearow,fearow,PokéAPI,https://pokeapi.co/api/v2/pokemon/fearow,22,2026-07-21 11:17:17.414942+00,0.0.0-dev
ekans,23,ekans,ekans,PokéAPI,https://pokeapi.co/api/v2/pokemon/ekans,23,2026-07-21 11:17:17.414942+00,0.0.0-dev
arbok,24,arbok,arbok,PokéAPI,https://pokeapi.co/api/v2/pokemon/arbok,24,2026-07-21 11:17:17.414942+00,0.0.0-dev
pikachu,25,pikachu,pikachu,PokéAPI,https://pokeapi.co/api/v2/pokemon/pikachu,25,2026-07-21 11:17:17.414942+00,0.0.0-dev
raichu,26,raichu,raichu,PokéAPI,https://pokeapi.co/api/v2/pokemon/raichu,26,2026-07-21 11:17:17.414942+00,0.0.0-dev
sandshrew,27,sandshrew,sandshrew,PokéAPI,https://pokeapi.co/api/v2/pokemon/sandshrew,27,2026-07-21 11:17:17.414942+00,0.0.0-dev
sandslash,28,sandslash,sandslash,PokéAPI,https://pokeapi.co/api/v2/pokemon/sandslash,28,2026-07-21 11:17:17.414942+00,0.0.0-dev
nidoran-f,29,nidoran-f,nidoran-f,PokéAPI,https://pokeapi.co/api/v2/pokemon/nidoran-f,29,2026-07-21 11:17:17.414942+00,0.0.0-dev
nidorina,30,nidorina,nidorina,PokéAPI,https://pokeapi.co/api/v2/pokemon/nidorina,30,2026-07-21 11:17:17.414942+00,0.0.0-dev
nidoqueen,31,nidoqueen,nidoqueen,PokéAPI,https://pokeapi.co/api/v2/pokemon/nidoqueen,31,2026-07-21 11:17:17.414942+00,0.0.0-dev
nidoran-m,32,nidoran-m,nidoran-m,PokéAPI,https://pokeapi.co/api/v2/pokemon/nidoran-m,32,2026-07-21 11:17:17.414942+00,0.0.0-dev
nidorino,33,nidorino,nidorino,PokéAPI,https://pokeapi.co/api/v2/pokemon/nidorino,33,2026-07-21 11:17:17.414942+00,0.0.0-dev
nidoking,34,nidoking,nidoking,PokéAPI,https://pokeapi.co/api/v2/pokemon/nidoking,34,2026-07-21 11:17:17.414942+00,0.0.0-dev
clefairy,35,clefairy,clefairy,PokéAPI,https://pokeapi.co/api/v2/pokemon/clefairy,35,2026-07-21 11:17:17.414942+00,0.0.0-dev
clefable,36,clefable,clefable,PokéAPI,https://pokeapi.co/api/v2/pokemon/clefable,36,2026-07-21 11:17:17.414942+00,0.0.0-dev
vulpix,37,vulpix,vulpix,PokéAPI,https://pokeapi.co/api/v2/pokemon/vulpix,37,2026-07-21 11:17:17.414942+00,0.0.0-dev
ninetales,38,ninetales,ninetales,PokéAPI,https://pokeapi.co/api/v2/pokemon/ninetales,38,2026-07-21 11:17:17.414942+00,0.0.0-dev
jigglypuff,39,jigglypuff,jigglypuff,PokéAPI,https://pokeapi.co/api/v2/pokemon/jigglypuff,39,2026-07-21 11:17:17.414942+00,0.0.0-dev
wigglytuff,40,wigglytuff,wigglytuff,PokéAPI,https://pokeapi.co/api/v2/pokemon/wigglytuff,40,2026-07-21 11:17:17.414942+00,0.0.0-dev
zubat,41,zubat,zubat,PokéAPI,https://pokeapi.co/api/v2/pokemon/zubat,41,2026-07-21 11:17:17.414942+00,0.0.0-dev
golbat,42,golbat,golbat,PokéAPI,https://pokeapi.co/api/v2/pokemon/golbat,42,2026-07-21 11:17:17.414942+00,0.0.0-dev
oddish,43,oddish,oddish,PokéAPI,https://pokeapi.co/api/v2/pokemon/oddish,43,2026-07-21 11:17:17.414942+00,0.0.0-dev
gloom,44,gloom,gloom,PokéAPI,https://pokeapi.co/api/v2/pokemon/gloom,44,2026-07-21 11:17:17.414942+00,0.0.0-dev
vileplume,45,vileplume,vileplume,PokéAPI,https://pokeapi.co/api/v2/pokemon/vileplume,45,2026-07-21 11:17:17.414942+00,0.0.0-dev
paras,46,paras,paras,PokéAPI,https://pokeapi.co/api/v2/pokemon/paras,46,2026-07-21 11:17:17.414942+00,0.0.0-dev
parasect,47,parasect,parasect,PokéAPI,https://pokeapi.co/api/v2/pokemon/parasect,47,2026-07-21 11:17:17.414942+00,0.0.0-dev
venonat,48,venonat,venonat,PokéAPI,https://pokeapi.co/api/v2/pokemon/venonat,48,2026-07-21 11:17:17.414942+00,0.0.0-dev
venomoth,49,venomoth,venomoth,PokéAPI,https://pokeapi.co/api/v2/pokemon/venomoth,49,2026-07-21 11:17:17.414942+00,0.0.0-dev
diglett,50,diglett,diglett,PokéAPI,https://pokeapi.co/api/v2/pokemon/diglett,50,2026-07-21 11:17:17.414942+00,0.0.0-dev
dugtrio,51,dugtrio,dugtrio,PokéAPI,https://pokeapi.co/api/v2/pokemon/dugtrio,51,2026-07-21 11:17:17.414942+00,0.0.0-dev
meowth,52,meowth,meowth,PokéAPI,https://pokeapi.co/api/v2/pokemon/meowth,52,2026-07-21 11:17:17.414942+00,0.0.0-dev
persian,53,persian,persian,PokéAPI,https://pokeapi.co/api/v2/pokemon/persian,53,2026-07-21 11:17:17.414942+00,0.0.0-dev
psyduck,54,psyduck,psyduck,PokéAPI,https://pokeapi.co/api/v2/pokemon/psyduck,54,2026-07-21 11:17:17.414942+00,0.0.0-dev
golduck,55,golduck,golduck,PokéAPI,https://pokeapi.co/api/v2/pokemon/golduck,55,2026-07-21 11:17:17.414942+00,0.0.0-dev
mankey,56,mankey,mankey,PokéAPI,https://pokeapi.co/api/v2/pokemon/mankey,56,2026-07-21 11:17:17.414942+00,0.0.0-dev
primeape,57,primeape,primeape,PokéAPI,https://pokeapi.co/api/v2/pokemon/primeape,57,2026-07-21 11:17:17.414942+00,0.0.0-dev
growlithe,58,growlithe,growlithe,PokéAPI,https://pokeapi.co/api/v2/pokemon/growlithe,58,2026-07-21 11:17:17.414942+00,0.0.0-dev
arcanine,59,arcanine,arcanine,PokéAPI,https://pokeapi.co/api/v2/pokemon/arcanine,59,2026-07-21 11:17:17.414942+00,0.0.0-dev
poliwag,60,poliwag,poliwag,PokéAPI,https://pokeapi.co/api/v2/pokemon/poliwag,60,2026-07-21 11:17:17.414942+00,0.0.0-dev
poliwhirl,61,poliwhirl,poliwhirl,PokéAPI,https://pokeapi.co/api/v2/pokemon/poliwhirl,61,2026-07-21 11:17:17.414942+00,0.0.0-dev
poliwrath,62,poliwrath,poliwrath,PokéAPI,https://pokeapi.co/api/v2/pokemon/poliwrath,62,2026-07-21 11:17:17.414942+00,0.0.0-dev
abra,63,abra,abra,PokéAPI,https://pokeapi.co/api/v2/pokemon/abra,63,2026-07-21 11:17:17.414942+00,0.0.0-dev
kadabra,64,kadabra,kadabra,PokéAPI,https://pokeapi.co/api/v2/pokemon/kadabra,64,2026-07-21 11:17:17.414942+00,0.0.0-dev
