pokemon_key,pokemon_id,pokemon_name,form_name,type_1,type_2,source_name,source_url,source_record_id,extracted_at_utc,dataset_version
bulbasaur,1,bulbasaur,bulbasaur,grass,poison,PokéAPI,https://pokeapi.co/api/v2/pokemon/bulbasaur,1,2026-08-03 08:26:36.523413+00,0.2.0
ivysaur,2,ivysaur,ivysaur,grass,poison,PokéAPI,https://pokeapi.co/api/v2/pokemon/ivysaur,2,2026-08-03 08:26:36.523413+00,0.2.0
venusaur,3,venusaur,venusaur,grass,poison,PokéAPI,https://pokeapi.co/api/v2/pokemon/venusaur,3,2026-08-03 08:26:36.523413+00,0.2.0
charmander,4,charmander,charmander,fire,,PokéAPI,https://pokeapi.co/api/v2/pokemon/charmander,4,2026-08-03 08:26:36.523413+00,0.2.0
charmeleon,5,charmeleon,charmeleon,fire,,PokéAPI,https://pokeapi.co/api/v2/pokemon/charmeleon,5,2026-08-03 08:26:36.523413+00,0.2.0
charizard,6,charizard,charizard,fire,flying,PokéAPI,https://pokeapi.co/api/v2/pokemon/charizard,6,2026-08-03 08:26:36.523413+00,0.2.0
squirtle,7,squirtle,squirtle,water,,PokéAPI,https://pokeapi.co/api/v2/pokemon/squirtle,7,2026-08-03 08:26:36.523413+00,0.2.0
wartortle,8,wartortle,wartortle,water,,PokéAPI,https://pokeapi.co/api/v2/pokemon/wartortle,8,2026-08-03 08:26:36.523413+00,0.2.0
blastoise,9,blastoise,blastoise,water,,PokéAPI,https://pokeapi.co/api/v2/pokemon/blastoise,9,2026-08-03 08:26:36.523413+00,0.2.0
caterpie,10,caterpie,caterpie,bug,,PokéAPI,https://pokeapi.co/api/v2/pokemon/caterpie,10,2026-08-03 08:26:36.523413+00,0.2.0
metapod,11,metapod,metapod,bug,,PokéAPI,https://pokeapi.co/api/v2/pokemon/metapod,11,2026-08-03 08:26:36.523413+00,0.2.0
butterfree,12,butterfree,butterfree,bug,flying,PokéAPI,https://pokeapi.co/api/v2/pokemon/butterfree,12,2026-08-03 08:26:36.523413+00,0.2.0
weedle,13,weedle,weedle,bug,poison,PokéAPI,https://pokeapi.co/api/v2/pokemon/weedle,13,2026-08-03 08:26:36.523413+00,0.2.0
kakuna,14,kakuna,kakuna,bug,poison,PokéAPI,https://pokeapi.co/api/v2/pokemon/kakuna,14,2026-08-03 08:26:36.523413+00,0.2.0
beedrill,15,beedrill,beedrill,bug,poison,PokéAPI,https://pokeapi.co/api/v2/pokemon/beedrill,15,2026-08-03 08:26:36.523413+00,0.2.0
pidgey,16,pidgey,pidgey,normal,flying,PokéAPI,https://pokeapi.co/api/v2/pokemon/pidgey,16,2026-08-03 08:26:36.523413+00,0.2.0
pidgeotto,17,pidgeotto,pidgeotto,normal,flying,PokéAPI,https://pokeapi.co/api/v2/pokemon/pidgeotto,17,2026-08-03 08:26:36.523413+00,0.2.0
pidgeot,18,pidgeot,pidgeot,normal,flying,PokéAPI,https://pokeapi.co/api/v2/pokemon/pidgeot,18,2026-08-03 08:26:36.523413+00,0.2.0
rattata,19,rattata,rattata,normal,,PokéAPI,https://pokeapi.co/api/v2/pokemon/rattata,19,2026-08-03 08:26:36.523413+00,0.2.0
raticate,20,raticate,raticate,normal,,PokéAPI,https://pokeapi.co/api/v2/pokemon/raticate,20,2026-08-03 08:26:36.523413+00,0.2.0
spearow,21,spearow,spearow,normal,flying,PokéAPI,https://pokeapi.co/api/v2/pokemon/spearow,21,2026-08-03 08:26:36.523413+00,0.2.0
fearow,22,fearow,fearow,normal,flying,PokéAPI,https://pokeapi.co/api/v2/pokemon/fearow,22,2026-08-03 08:26:36.523413+00,0.2.0
ekans,23,ekans,ekans,poison,,PokéAPI,https://pokeapi.co/api/v2/pokemon/ekans,23,2026-08-03 08:26:36.523413+00,0.2.0
