pokemon_stat_canonical_key,pokemon_key,pokemon_id,hp,attack,defense,sp_attack,sp_defense,speed,stat_total,source_name,source_url,source_record_id,extracted_at_utc,dataset_version
bulbasaur,bulbasaur,1,45,49,49,65,65,45,318,PokéAPI,https://pokeapi.co/api/v2/pokemon/bulbasaur,1,2026-08-03 08:26:36.523413+00,0.2.0
ivysaur,ivysaur,2,60,62,63,80,80,60,405,PokéAPI,https://pokeapi.co/api/v2/pokemon/ivysaur,2,2026-08-03 08:26:36.523413+00,0.2.0
venusaur,venusaur,3,80,82,83,100,100,80,525,PokéAPI,https://pokeapi.co/api/v2/pokemon/venusaur,3,2026-08-03 08:26:36.523413+00,0.2.0
charmander,charmander,4,39,52,43,60,50,65,309,PokéAPI,https://pokeapi.co/api/v2/pokemon/charmander,4,2026-08-03 08:26:36.523413+00,0.2.0
charmeleon,charmeleon,5,58,64,58,80,65,80,405,PokéAPI,https://pokeapi.co/api/v2/pokemon/charmeleon,5,2026-08-03 08:26:36.523413+00,0.2.0
charizard,charizard,6,78,84,78,109,85,100,534,PokéAPI,https://pokeapi.co/api/v2/pokemon/charizard,6,2026-08-03 08:26:36.523413+00,0.2.0
squirtle,squirtle,7,44,48,65,50,64,43,314,PokéAPI,https://pokeapi.co/api/v2/pokemon/squirtle,7,2026-08-03 08:26:36.523413+00,0.2.0
wartortle,wartortle,8,59,63,80,65,80,58,405,PokéAPI,https://pokeapi.co/api/v2/pokemon/wartortle,8,2026-08-03 08:26:36.523413+00,0.2.0
blastoise,blastoise,9,79,83,100,85,105,78,530,PokéAPI,https://pokeapi.co/api/v2/pokemon/blastoise,9,2026-08-03 08:26:36.523413+00,0.2.0
caterpie,caterpie,10,45,30,35,20,20,45,195,PokéAPI,https://pokeapi.co/api/v2/pokemon/caterpie,10,2026-08-03 08:26:36.523413+00,0.2.0
metapod,metapod,11,50,20,55,25,25,30,205,PokéAPI,https://pokeapi.co/api/v2/pokemon/metapod,11,2026-08-03 08:26:36.523413+00,0.2.0
butterfree,butterfree,12,60,45,50,90,80,70,395,PokéAPI,https://pokeapi.co/api/v2/pokemon/butterfree,12,2026-08-03 08:26:36.523413+00,0.2.0
weedle,weedle,13,40,35,30,20,20,50,195,PokéAPI,https://pokeapi.co/api/v2/pokemon/weedle,13,2026-08-03 08:26:36.523413+00,0.2.0
kakuna,kakuna,14,45,25,50,25,25,35,205,PokéAPI,https://pokeapi.co/api/v2/pokemon/kakuna,14,2026-08-03 08:26:36.523413+00,0.2.0
beedrill,beedrill,15,65,90,40,45,80,75,395,PokéAPI,https://pokeapi.co/api/v2/pokemon/beedrill,15,2026-08-03 08:26:36.523413+00,0.2.0
pidgey,pidgey,16,40,45,40,35,35,56,251,PokéAPI,https://pokeapi.co/api/v2/pokemon/pidgey,16,2026-08-03 08:26:36.523413+00,0.2.0
pidgeotto,pidgeotto,17,63,60,55,50,50,71,349,PokéAPI,https://pokeapi.co/api/v2/pokemon/pidgeotto,17,2026-08-03 08:26:36.523413+00,0.2.0
pidgeot,pidgeot,18,83,80,75,70,70,101,479,PokéAPI,https://pokeapi.co/api/v2/pokemon/pidgeot,18,2026-08-03 08:26:36.523413+00,0.2.0
rattata,rattata,19,30,56,35,25,35,72,253,PokéAPI,https://pokeapi.co/api/v2/pokemon/rattata,19,2026-08-03 08:26:36.523413+00,0.2.0
raticate,raticate,20,55,81,60,50,70,97,413,PokéAPI,https://pokeapi.co/api/v2/pokemon/raticate,20,2026-08-03 08:26:36.523413+00,0.2.0
spearow,spearow,21,40,60,30,31,31,70,262,PokéAPI,https://pokeapi.co/api/v2/pokemon/spearow,21,2026-08-03 08:26:36.523413+00,0.2.0
fearow,fearow,22,65,90,65,61,61,100,442,PokéAPI,https://pokeapi.co/api/v2/pokemon/fearow,22,2026-08-03 08:26:36.523413+00,0.2.0
ekans,ekans,23,35,60,44,40,54,55,288,PokéAPI,https://pokeapi.co/api/v2/pokemon/ekans,23,2026-08-03 08:26:36.523413+00,0.2.0
arbok,arbok,24,60,95,69,65,79,80,448,PokéAPI,https://pokeapi.co/api/v2/pokemon/arbok,24,2026-08-03 08:26:36.523413+00,0.2.0
pikachu,pikachu,25,35,55,40,50,50,90,320,PokéAPI,https://pokeapi.co/api/v2/pokemon/pikachu,25,2026-08-03 08:26:36.523413+00,0.2.0
raichu,raichu,26,60,90,55,90,80,110,485,PokéAPI,https://pokeapi.co/api/v2/pokemon/raichu,26,2026-08-03 08:26:36.523413+00,0.2.0
sandshrew,sandshrew,27,50,75,85,20,30,40,300,PokéAPI,https://pokeapi.co/api/v2/pokemon/sandshrew,27,2026-08-03 08:26:36.523413+00,0.2.0
sandslash,sandslash,28,75,100,110,45,55,65,450,PokéAPI,https://pokeapi.co/api/v2/pokemon/sandslash,28,2026-08-03 08:26:36.523413+00,0.2.0
nidoran-f,nidoran-f,29,55,47,52,40,40,41,275,PokéAPI,https://pokeapi.co/api/v2/pokemon/nidoran-f,29,2026-08-03 08:26:36.523413+00,0.2.0
nidorina,nidorina,30,70,62,67,55,55,56,365,PokéAPI,https://pokeapi.co/api/v2/pokemon/nidorina,30,2026-08-03 08:26:36.523413+00,0.2.0
nidoqueen,nidoqueen,31,90,92,87,75,85,76,505,PokéAPI,https://pokeapi.co/api/v2/pokemon/nidoqueen,31,2026-08-03 08:26:36.523413+00,0.2.0
nidoran-m,nidoran-m,32,46,57,40,40,40,50,273,PokéAPI,https://pokeapi.co/api/v2/pokemon/nidoran-m,32,2026-08-03 08:26:36.523413+00,0.2.0
nidorino,nidorino,33,61,72,57,55,55,65,365,PokéAPI,https://pokeapi.co/api/v2/pokemon/nidorino,33,2026-08-03 08:26:36.523413+00,0.2.0
nidoking,nidoking,34,81,102,77,85,75,85,505,PokéAPI,https://pokeapi.co/api/v2/pokemon/nidoking,34,2026-08-03 08:26:36.523413+00,0.2.0
clefairy,clefairy,35,70,45,48,60,65,35,323,PokéAPI,https://pokeapi.co/api/v2/pokemon/clefairy,35,2026-08-03 08:26:36.523413+00,0.2.0
clefable,clefable,36,95,70,73,95,90,60,483,PokéAPI,https://pokeapi.co/api/v2/pokemon/clefable,36,2026-08-03 08:26:36.523413+00,0.2.0
vulpix,vulpix,37,38,41,40,50,65,65,299,PokéAPI,https://pokeapi.co/api/v2/pokemon/vulpix,37,2026-08-03 08:26:36.523413+00,0.2.0
ninetales,ninetales,38,73,76,75,81,100,100,505,PokéAPI,https://pokeapi.co/api/v2/pokemon/ninetales,38,2026-08-03 08:26:36.523413+00,0.2.0
jigglypuff,jigglypuff,39,115,45,20,45,25,20,270,PokéAPI,https://pokeapi.co/api/v2/pokemon/jigglypuff,39,2026-08-03 08:26:36.523413+00,0.2.0
wigglytuff,wigglytuff,40,140,70,45,85,50,45,435,PokéAPI,https://pokeapi.co/api/v2/pokemon/wigglytuff,40,2026-08-03 08:26:36.523413+00,0.2.0
zubat,zubat,41,40,45,35,30,40,55,245,PokéAPI,https://pokeapi.co/api/v2/pokemon/zubat,41,2026-08-03 08:26:36.523413+00,0.2.0
golbat,golbat,42,75,80,70,65,75,90,455,PokéAPI,https://pokeapi.co/api/v2/pokemon/golbat,42,2026-08-03 08:26:36.523413+00,0.2.0
oddish,oddish,43,45,50,55,75,65,30,320,PokéAPI,https://pokeapi.co/api/v2/pokemon/oddish,43,2026-08-03 08:26:36.523413+00,0.2.0
gloom,gloom,44,60,65,70,85,75,40,395,PokéAPI,https://pokeapi.co/api/v2/pokemon/gloom,44,2026-08-03 08:26:36.523413+00,0.2.0
vileplume,vileplume,45,75,80,85,110,90,50,490,PokéAPI,https://pokeapi.co/api/v2/pokemon/vileplume,45,2026-08-03 08:26:36.523413+00,0.2.0
paras,paras,46,35,70,55,45,55,25,285,PokéAPI,https://pokeapi.co/api/v2/pokemon/paras,46,2026-08-03 08:26:36.523413+00,0.2.0
parasect,parasect,47,60,95,80,60,80,30,405,PokéAPI,https://pokeapi.co/api/v2/pokemon/parasect,47,2026-08-03 08:26:36.523413+00,0.2.0
venonat,venonat,48,60,55,50,40,55,45,305,PokéAPI,https://pokeapi.co/api/v2/pokemon/venonat,48,2026-08-03 08:26:36.523413+00,0.2.0
venomoth,venomoth,49,70,65,60,90,75,90,450,PokéAPI,https://pokeapi.co/api/v2/pokemon/venomoth,49,2026-08-03 08:26:36.523413+00,0.2.0
diglett,diglett,50,10,55,25,35,45,95,265,PokéAPI,https://pokeapi.co/api/v2/pokemon/diglett,50,2026-08-03 08:26:36.523413+00,0.2.0
dugtrio,dugtrio,51,35,100,50,50,70,120,425,PokéAPI,https://pokeapi.co/api/v2/pokemon/dugtrio,51,2026-08-03 08:26:36.523413+00,0.2.0
