pokemon_stat_delta_key,pokemon_key,pokemon_id,hp_delta,attack_delta,defense_delta,sp_attack_delta,sp_defense_delta,speed_delta,stat_total_delta,canonical_dataset_version,champions_dataset_version,source_name,source_url,extracted_at_utc,dataset_version
venusaur-delta,venusaur,3,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
charizard-delta,charizard,6,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
blastoise-delta,blastoise,9,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
beedrill-delta,beedrill,15,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
pidgeot-delta,pidgeot,18,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
arbok-delta,arbok,24,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
pikachu-delta,pikachu,25,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
raichu-delta,raichu,26,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
clefable-delta,clefable,36,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
ninetales-delta,ninetales,38,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
vileplume-delta,vileplume,45,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
arcanine-delta,arcanine,59,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
alakazam-delta,alakazam,65,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
machamp-delta,machamp,68,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
victreebel-delta,victreebel,71,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
slowbro-delta,slowbro,80,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
gengar-delta,gengar,94,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
kangaskhan-delta,kangaskhan,115,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
starmie-delta,starmie,121,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
pinsir-delta,pinsir,127,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
tauros-delta,tauros,128,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
gyarados-delta,gyarados,130,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
ditto-delta,ditto,132,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
vaporeon-delta,vaporeon,134,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
jolteon-delta,jolteon,135,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
flareon-delta,flareon,136,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
aerodactyl-delta,aerodactyl,142,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
snorlax-delta,snorlax,143,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
dragonite-delta,dragonite,149,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
meganium-delta,meganium,154,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
typhlosion-delta,typhlosion,157,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
feraligatr-delta,feraligatr,160,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
ariados-delta,ariados,168,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
ampharos-delta,ampharos,181,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
azumarill-delta,azumarill,184,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
politoed-delta,politoed,186,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
espeon-delta,espeon,196,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
umbreon-delta,umbreon,197,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
slowking-delta,slowking,199,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
forretress-delta,forretress,205,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
steelix-delta,steelix,208,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
qwilfish-delta,qwilfish,211,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
scizor-delta,scizor,212,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
heracross-delta,heracross,214,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
skarmory-delta,skarmory,227,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
houndoom-delta,houndoom,229,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
tyranitar-delta,tyranitar,248,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
sceptile-delta,sceptile,254,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
blaziken-delta,blaziken,257,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
swampert-delta,swampert,260,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
pelipper-delta,pelipper,279,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
gardevoir-delta,gardevoir,282,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
sableye-delta,sableye,302,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
mawile-delta,mawile,303,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
aggron-delta,aggron,306,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
medicham-delta,medicham,308,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
manectric-delta,manectric,310,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
sharpedo-delta,sharpedo,319,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
camerupt-delta,camerupt,323,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
torkoal-delta,torkoal,324,0,0,0,0,0,0,0,0.2.0,0.2.0,derived: pokemon_stat_canonical vs pokemon_stat_champions,internal://pokemon_stat_delta,2026-08-03 08:26:02.91765+00,0.2.0
