team_list_member_id,team_list_id,pokemon_key,pokemon_id,slot_number,item_name,ability,nature,moves,source_name,source_url,source_record_id,extracted_at_utc,dataset_version
6582:1,6582,charizard-mega-y,6,1,Charizardite Y,Blaze,Modest,Heat Wave|Solar Beam|Weather Ball|Protect,Limitless VGC,https://limitlessvgc.com/teams/6582,435:6582:1507:1,2026-08-03 08:41:23.658111+00,0.2.0
6693:6,6693,aerodactyl-mega,142,6,Aerodactylite,Unnerve,Jolly,Rock Slide|Dual Wingbeat|Ice Fang|Tailwind,Limitless VGC,https://limitlessvgc.com/teams/6693,436:6693:33:6,2026-08-03 08:41:23.658111+00,0.2.0
6695:1,6695,floette-mega,670,1,Floettite,Flower Veil,Timid,Dazzling Gleam|Moonblast|Light of Ruin|Protect,Limitless VGC,https://limitlessvgc.com/teams/6695,436:6695:272:1,2026-08-03 08:41:23.658111+00,0.2.0
6699:4,6699,scovillain-mega,952,4,Scovillainite,Moody,Bold,Protect|Overheat|Giga Drain|Rage Powder,Limitless VGC,https://limitlessvgc.com/teams/6699,436:6699:110:4,2026-08-03 08:41:23.658111+00,0.2.0
6699:6,6699,froslass-mega,478,6,Froslassite,Cursed Body,Timid,Protect|Blizzard|Shadow Ball|Aurora Veil,Limitless VGC,https://limitlessvgc.com/teams/6699,436:6699:110:6,2026-08-03 08:41:23.658111+00,0.2.0
6700:2,6700,scovillain-mega,952,2,Scovillainite,Moody,Bold,Protect|Giga Drain|Overheat|Rage Powder,Limitless VGC,https://limitlessvgc.com/teams/6700,436:6700:1037:2,2026-08-03 08:41:23.658111+00,0.2.0
6702:3,6702,floette-mega,670,3,Floettite,Flower Veil,Timid,Dazzling Gleam|Moonblast|Light of Ruin|Protect,Limitless VGC,https://limitlessvgc.com/teams/6702,436:6702:1742:3,2026-08-03 08:41:23.658111+00,0.2.0
6702:6,6702,charizard-mega-y,6,6,Charizardite Y,Blaze,Modest,Weather Ball|Heat Wave|Solar Beam|Protect,Limitless VGC,https://limitlessvgc.com/teams/6702,436:6702:1742:6,2026-08-03 08:41:23.658111+00,0.2.0
6703:4,6703,charizard-mega-y,6,4,Charizardite Y,Blaze,Modest,Heat Wave|Solar Beam|Weather Ball|Protect,Limitless VGC,https://limitlessvgc.com/teams/6703,436:6703:2586:4,2026-08-03 08:41:23.658111+00,0.2.0
6686:4,6686,floette-mega,670,4,Floettite,Flower Veil,Modest,Protect|Calm Mind|Draining Kiss|Moonblast,Limitless VGC,https://limitlessvgc.com/teams/6686,435:6686:4936:4,2026-08-03 08:41:23.658111+00,0.2.0
6706:4,6706,froslass-mega,478,4,Froslassite,Cursed Body,Timid,Blizzard|Shadow Ball|Aurora Veil|Protect,Limitless VGC,https://limitlessvgc.com/teams/6706,436:6706:1774:4,2026-08-03 08:41:23.658111+00,0.2.0
6709:4,6709,floette-mega,670,4,Floettite,Flower Veil,Modest,Moonblast|Dazzling Gleam|Calm Mind|Protect,Limitless VGC,https://limitlessvgc.com/teams/6709,436:6709:1932:4,2026-08-03 08:41:23.658111+00,0.2.0
6710:6,6710,charizard-mega-y,6,6,Charizardite Y,Blaze,Timid,Weather Ball|Solar Beam|Heat Wave|Protect,Limitless VGC,https://limitlessvgc.com/teams/6710,436:6710:4939:6,2026-08-03 08:41:23.658111+00,0.2.0
6554:3,6554,aerodactyl-mega,142,3,Aerodactylite,Unnerve,Jolly,Protect|Dual Wingbeat|Tailwind|Rock Slide,Limitless VGC,https://limitlessvgc.com/teams/6554,434:6554:4903:3,2026-08-03 08:41:23.658111+00,0.2.0
6712:1,6712,charizard-mega-y,6,1,Charizardite Y,Blaze,Modest,Heat Wave|Weather Ball|Solar Beam|Protect,Limitless VGC,https://limitlessvgc.com/teams/6712,436:6712:1947:1,2026-08-03 08:41:23.658111+00,0.2.0
6715:6,6715,charizard-mega-y,6,6,Charizardite Y,Blaze,Modest,Heat Wave|Weather Ball|Solar Beam|Protect,Limitless VGC,https://limitlessvgc.com/teams/6715,436:6715:3179:6,2026-08-03 08:41:23.658111+00,0.2.0
6721:2,6721,froslass-mega,478,2,Froslassite,Cursed Body,Modest,Blizzard|Shadow Ball|Aurora Veil|Protect,Limitless VGC,https://limitlessvgc.com/teams/6721,436:6721:3989:2,2026-08-03 08:41:23.658111+00,0.2.0
6722:2,6722,scovillain-mega,952,2,Scovillainite,Moody,Bold,Overheat|Giga Drain|Rage Powder|Protect,Limitless VGC,https://limitlessvgc.com/teams/6722,436:6722:2281:2,2026-08-03 08:41:23.658111+00,0.2.0
6724:6,6724,delphox-mega,655,6,Delphoxite,Blaze,Timid,Heat Wave|Psyshock|Nasty Plot|Protect,Limitless VGC,https://limitlessvgc.com/teams/6724,436:6724:536:6,2026-08-03 08:41:23.658111+00,0.2.0
6726:1,6726,tyranitar-mega,248,1,Tyranitarite,Sand Stream,Adamant,Rock Slide|Knock Off|Low Kick|Protect,Limitless VGC,https://limitlessvgc.com/teams/6726,436:6726:4445:1,2026-08-03 08:41:23.658111+00,0.2.0
6728:5,6728,gardevoir-mega,282,5,Gardevoirite,Telepathy,Modest,Hyper Voice|Psyshock|Trick Room|Protect,Limitless VGC,https://limitlessvgc.com/teams/6728,436:6728:199:5,2026-08-03 08:41:23.658111+00,0.2.0
6730:6,6730,tyranitar-mega,248,6,Tyranitarite,Sand Stream,Jolly,Rock Slide|Dragon Dance|Knock Off|Protect,Limitless VGC,https://limitlessvgc.com/teams/6730,436:6730:4941:6,2026-08-03 08:41:23.658111+00,0.2.0
6732:1,6732,scovillain-mega,952,1,Scovillainite,Moody,Bold,Overheat|Rage Powder|Leech Seed|Protect,Limitless VGC,https://limitlessvgc.com/teams/6732,436:6732:3350:1,2026-08-03 08:41:23.658111+00,0.2.0
6737:3,6737,charizard-mega-y,6,3,Charizardite Y,Blaze,Modest,Heat Wave|Solar Beam|Weather Ball|Protect,Limitless VGC,https://limitlessvgc.com/teams/6737,436:6737:4943:3,2026-08-03 08:41:23.658111+00,0.2.0
6738:2,6738,charizard-mega-y,6,2,Charizardite Y,Blaze,Timid,Heat Wave|Weather Ball|Solar Beam|Protect,Limitless VGC,https://limitlessvgc.com/teams/6738,436:6738:4944:2,2026-08-03 08:41:23.658111+00,0.2.0
6739:1,6739,floette-mega,670,1,Floettite,Flower Veil,Modest,Moonblast|Calm Mind|Dazzling Gleam|Protect,Limitless VGC,https://limitlessvgc.com/teams/6739,436:6739:4041:1,2026-08-03 08:41:23.658111+00,0.2.0
6740:3,6740,floette-mega,670,3,Floettite,Flower Veil,Modest,Dazzling Gleam|Moonblast|Protect|Light of Ruin,Limitless VGC,https://limitlessvgc.com/teams/6740,436:6740:2993:3,2026-08-03 08:41:23.658111+00,0.2.0
6741:4,6741,gardevoir-mega,282,4,Gardevoirite,Trace,Modest,Protect|Trick Room|Hyper Voice|Psyshock,Limitless VGC,https://limitlessvgc.com/teams/6741,436:6741:1787:4,2026-08-03 08:41:23.658111+00,0.2.0
6742:3,6742,charizard-mega-y,6,3,Charizardite Y,Blaze,Modest,Heat Wave|Weather Ball|Solar Beam|Protect,Limitless VGC,https://limitlessvgc.com/teams/6742,436:6742:1810:3,2026-08-03 08:41:23.658111+00,0.2.0
6743:1,6743,froslass-mega,478,1,Froslassite,Cursed Body,Timid,Blizzard|Aurora Veil|Shadow Ball|Protect,Limitless VGC,https://limitlessvgc.com/teams/6743,436:6743:182:1,2026-08-03 08:41:23.658111+00,0.2.0
6751:2,6751,scovillain-mega,952,2,Scovillainite,Moody,Bold,Overheat|Giga Drain|Rage Powder|Protect,Limitless VGC,https://limitlessvgc.com/teams/6751,436:6751:2125:2,2026-08-03 08:41:23.658111+00,0.2.0
6752:6,6752,floette-mega,670,6,Floettite,Flower Veil,Timid,Moonblast|Dazzling Gleam|Light of Ruin|Protect,Limitless VGC,https://limitlessvgc.com/teams/6752,436:6752:2750:6,2026-08-03 08:41:23.658111+00,0.2.0
6753:1,6753,scovillain-mega,952,1,Scovillainite,Moody,Calm,Protect|Leech Seed|Rage Powder|Overheat,Limitless VGC,https://limitlessvgc.com/teams/6753,436:6753:4318:1,2026-08-03 08:41:23.658111+00,0.2.0
6755:3,6755,aerodactyl-mega,142,3,Aerodactylite,Unnerve,Adamant,Protect|Rock Slide|Ice Fang|Dual Wingbeat,Limitless VGC,https://limitlessvgc.com/teams/6755,436:6755:1130:3,2026-08-03 08:41:23.658111+00,0.2.0
6760:6,6760,froslass-mega,478,6,Froslassite,Cursed Body,Modest,Blizzard|Shadow Ball|Aurora Veil|Protect,Limitless VGC,https://limitlessvgc.com/teams/6760,436:6760:4054:6,2026-08-03 08:41:23.658111+00,0.2.0
6762:2,6762,venusaur-mega,3,2,Venusaurite,Chlorophyll,Modest,Giga Drain|Sludge Bomb|Earth Power|Protect,Limitless VGC,https://limitlessvgc.com/teams/6762,436:6762:3296:2,2026-08-03 08:41:23.658111+00,0.2.0
