team_id,event_id,player_id,player_name,player_country,placement,record_wins,record_losses,source_name,source_url,source_record_id,extracted_at_utc,dataset_version
02Q4CJLtKRVQpUXrZvX6,TO027Rvi7XmbN1f355Nc,795f230505345917,Sarah Merrill,US,663,1,4,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/TO027Rvi7XmbN1f355Nc/players.json,02Q4CJLtKRVQpUXrZvX6,2026-08-03 08:46:08.010721+00,0.2.0
02qiRSQLFsqMojIqWizs,BE02wX9mUPbgJsSba2pR,7b256496365ceb65,Caio Lattanzi,BR,24,6,5,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/BE02wX9mUPbgJsSba2pR/players.json,02qiRSQLFsqMojIqWizs,2026-08-03 08:46:08.010721+00,0.2.0
06nE66wUDKwGZ9chg178,IN02wbUMQOt2eNv12cgC,63e817bd6976e690,Christopher Bertrand,US,560,3,4,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/IN02wbUMQOt2eNv12cgC/players.json,06nE66wUDKwGZ9chg178,2026-08-03 08:46:08.010721+00,0.2.0
08W1hOi4qNgpA8fFiGXd,CA02wLAJ2mRyQI5kryVw,1f0908c7484ed793,Matheus Carretta,BR,42,5,4,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/CA02wLAJ2mRyQI5kryVw/players.json,08W1hOi4qNgpA8fFiGXd,2026-08-03 08:46:08.010721+00,0.2.0
0Ckpe85jTu4swuI3bfj9,TU02wKzv4cT2BBiI9dEg,851de49db53a91d4,Alessandro Gozzi,IT,433,4,5,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/TU02wKzv4cT2BBiI9dEg/players.json,0Ckpe85jTu4swuI3bfj9,2026-08-03 08:46:08.010721+00,0.2.0
0Dzzgl85fBlquKSY2jgE,TU02wKzv4cT2BBiI9dEg,7b1b6f3f42c8b242,Daniel Palazzolo,IT,630,3,6,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/TU02wKzv4cT2BBiI9dEg/players.json,0Dzzgl85fBlquKSY2jgE,2026-08-03 08:46:08.010721+00,0.2.0
0EmlLPMieXTJ1IQHVmnB,LA0226md2zDgZtmvexIY,f5ab812fe9f13957,Eduardo Oliveira,BR,443,2,5,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/LA0226md2zDgZtmvexIY/players.json,0EmlLPMieXTJ1IQHVmnB,2026-08-03 08:46:08.010721+00,0.2.0
0F8MMAZvdCXMwMY9lkrv,SG02gVKM38QMVGTcAiZN,32d1eb3efc298bd8,Patrick Evels,DE,657,0,5,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/SG02gVKM38QMVGTcAiZN/players.json,0F8MMAZvdCXMwMY9lkrv,2026-08-03 08:46:08.010721+00,0.2.0
0HuGtRB1Nyq1KOpxIQn2,TU02wKzv4cT2BBiI9dEg,43392793740c8265,Marco Polce,IT,260,5,4,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/TU02wKzv4cT2BBiI9dEg/players.json,0HuGtRB1Nyq1KOpxIQn2,2026-08-03 08:46:08.010721+00,0.2.0
0J3KfsDA4mSDCk5KQW63,HO02w2PgpC7mWHP8zYRI,1743efc51b8bc52d,Eleanor Tayam-Hernandez,US,384,3,6,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/HO02w2PgpC7mWHP8zYRI/players.json,0J3KfsDA4mSDCk5KQW63,2026-08-03 08:46:08.010721+00,0.2.0
0LsqKUEAYtYZsFV4kL0w,BE02wX9mUPbgJsSba2pR,56ba31e7b6199408,Xoakin Rinaldi,AR,84,5,4,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/BE02wX9mUPbgJsSba2pR/players.json,0LsqKUEAYtYZsFV4kL0w,2026-08-03 08:46:08.010721+00,0.2.0
0NJ6pJZtnWQhXbZEkV9n,EU02mADIyxk2QHCU8dqx,eb0469bd79d59a75,Diego Rollón Voces,ES,1126,3,6,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/EU02mADIyxk2QHCU8dqx/players.json,0NJ6pJZtnWQhXbZEkV9n,2026-08-03 08:46:08.010721+00,0.2.0
0SiSz9J17I7jCzK5v4Qd,BH02mBOy0UgfISzHnNdU,97ca743f425677b1,Alex Saltmarsh,UK,446,3,6,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/BH02mBOy0UgfISzHnNdU/players.json,0SiSz9J17I7jCzK5v4Qd,2026-08-03 08:46:08.010721+00,0.2.0
0XgAUJdcDVeclTl0bedg,TU02wKzv4cT2BBiI9dEg,91a33097860d4d82,Davide Ventura,IT,646,3,6,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/TU02wKzv4cT2BBiI9dEg/players.json,0XgAUJdcDVeclTl0bedg,2026-08-03 08:46:08.010721+00,0.2.0
0Z9GSJRRoolhDozat6dC,HO02w2PgpC7mWHP8zYRI,1cda44e146358062,Chad Gass,US,274,4,5,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/HO02w2PgpC7mWHP8zYRI/players.json,0Z9GSJRRoolhDozat6dC,2026-08-03 08:46:08.010721+00,0.2.0
0kAnqNp08RGmMEBPJR6w,SE027LIri9yqbewCPonE,cf1746e2dde08827,Keith Petitt,US,408,4,5,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/SE027LIri9yqbewCPonE/players.json,0kAnqNp08RGmMEBPJR6w,2026-08-03 08:46:08.010721+00,0.2.0
0nvnVpbnJqdksjkEwaCE,MK02mx9kmM49UZ5g4JxH,613542d9ab077801,Liz Gutierrez,US,127,5,4,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/MK02mx9kmM49UZ5g4JxH/players.json,0nvnVpbnJqdksjkEwaCE,2026-08-03 08:46:08.010721+00,0.2.0
0uBbMrEYcGZGiCk6yLkp,LA0226md2zDgZtmvexIY,32458f630bcb856c,Matteo Ferrari,IT,19,10,3,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/LA0226md2zDgZtmvexIY/players.json,0uBbMrEYcGZGiCk6yLkp,2026-08-03 08:46:08.010721+00,0.2.0
0yWkIkshLNGeLkCcjlFz,MT02mEWqwYNpTSVPcblx,79021a775e7340f4,Francisco Herrera,MX,225,2,7,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/MT02mEWqwYNpTSVPcblx/players.json,0yWkIkshLNGeLkCcjlFz,2026-08-03 08:46:08.010721+00,0.2.0
0zltk8dL1GtbfPnPgD1V,ST02KJ5wqNl34q3KGE8N,932b49a489a85939,Patricio Ferreira,CL,31,6,5,MunchStats,https://raw.githubusercontent.com/PizzaTimeJoshua/munchstats/main/stats/tournaments/ST02KJ5wqNl34q3KGE8N/players.json,0zltk8dL1GtbfPnPgD1V,2026-08-03 08:46:08.010721+00,0.2.0
